Player,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College
Spencer Hawes,Washington,Black and White,2008,2016,C-F,7-1,245,"April 28, 1988",University of Washington
Hersey Hawkins,Illinois,Black,1989,2001,G,6-3,190,"September 29, 1966",Bradley University
Juaquin Hawkins,California,Black,2003,2003,G-F,6-7,220,"July 2, 1973","California State University, Long Beach"
Michael Hawkins,Ohio,Black,1997,2001,G,6-0,178,"October 28, 1972",Xavier University
Chuck Hayes,California,Black,2006,2016,F-C,6-6,240,"June 11, 1983",University of Kentucky
Jarvis Hayes,Georigia,Black,2004,2010,F,6-7,220,"August 9, 1981",University of Georgia
Steve Hayes,Idaho,Black,1982,1986,C,7-0,205,"August 2, 1955",Idaho State University
Gordon Hayward,Indiana,White,2011,2016,F-G,6-8,226,"March 23, 1990",Butler University
Lazar Hayward,New York,Black,2011,2013,F,6-6,225,"November 26, 1986",Marquette University
Brendan Haywood,New York,Black,2002,2015,C,7-0,268,"November 27, 1979",University of North Carolina
Luther Head,Illinois,Black,2006,2011,G,6-3,185,"November 26, 1982",University of Illinois at Urbana-Champaign
Shane Heal,Australia,White,1997,2004,G,6-0,180,"September 6, 1970",
Alvin Heggs,Florida,Black,1996,1996,F,6-8,225,"December 12, 1967",University of Texas at Austin
Alan Henderson,Indiana,Black,1996,2007,F,6-9,235,"December 2, 1972",Indiana University
Cedric Henderson,Georgia,Black,1987,1987,F,6-8,210,"October 3, 1965",University of Georgia
Cedric Henderson,Tennessee,Black,1998,2002,F,6-7,215,"March 11, 1975",University of Memphis
Dave Henderson,North Carolina,Black,1988,1988,G,6-5,195,"July 21, 1964",Duke University
Gerald Henderson,Virginia,Black,1980,1992,G,6-2,175,"January 16, 1956",Virginia Commonwealth University
Gerald Henderson,New Jersey,Black,2010,2016,G,6-5,215,"December 9, 1987",Duke University
J.R. Henderson,Maryland,Black,1999,1999,F,6-8,226,"October 30, 1976","University of California, Los Angeles"
Jerome Henderson,South Carolina,Black,1986,1987,C-F,6-11,230,"October 5, 1959",University of New Mexico
Kevin Henderson,Washington,Black,1987,1988,G,6-4,195,"March 22, 1964","California State University, Fullerton"
Mark Hendrickson,New York,Black,1997,2000,F,6-9,220,"June 23, 1974",Washington State University
Carl Henry,Oklahoma,Black,1986,1986,G,6-6,205,"August 16, 1960",University of Kansas
Conner Henry,California,White,1987,1988,G,6-7,195,"July 21, 1963","University of California, Santa Barbara"
Skeeter Henry,Texas,Black,1994,1994,G,6-7,190,"December 8, 1967",University of Oklahoma
Xavier Henry,Belgium,White,2011,2015,G,6-6,220,"March 15, 1991",University of Kansas
John Henson,North Carolina,Black,2013,2016,F,6-11,229,"December 28, 1990",University of North Carolina
Steve Henson,Kansas,White,1991,1999,G,5-11,177,"February 2, 1968",Kansas State University
Chris Herren,Massachosetts,White,2000,2001,G,6-2,197,"September 27, 1975","California State University, Fresno"
Carl Herrera,Trinidad and Tobago,Black,1992,1999,F,6-9,215,"December 14, 1966",University of Houston
Walter Herrmann,Argentina,White,2007,2009,F,6-9,225,"June 26, 1979",
Mario Hezonja,Croatia,White,2016,2016,F-G,6-8,215,"February 25, 1995",
Roy Hibbert,New York,Black,2009,2016,C,7-2,270,"December 11, 1986",Georgetown University
J.J. Hickson,Georgia,Black,2009,2016,F,6-9,242,"September 4, 1988",North Carolina State University
Cory Higgins,California,Black,2012,2013,G,6-5,180,"June 14, 1989",University of Colorado
Mike Higgins,Nebraska,Black,1990,1991,F,6-9,220,"February 17, 1967",University of Northern Colorado
Rod Higgins,Louisiana,Black,1983,1995,F-C,6-7,200,"January 31, 1960","California State University, Fresno"
Sean Higgins,California,Black,1991,1998,G-F,6-9,205,"December 30, 1968",University of Michigan
Nene Hilario,Brazil,Black,2003,2016,F-C,6-11,250,"September 13, 1982",
George Hill,Indiana,White,2009,2016,G,6-3,188,"May 4, 1986",Indiana University-Purdue University Indianapolis
Grant Hill,Texas,Black,1995,2013,F-G,6-8,225,"October 5, 1972",Duke University
Jordan Hill,Georgia,Black,2010,2016,C-F,6-10,235,"July 27, 1987",University of Arizona
Solomon Hill,California,Black,2014,2016,F,6-7,225,"March 18, 1991",University of Arizona
Steven Hill,Kansas,Black,2009,2009,C,7-0,248,"November 14, 1985",University of Arkansas
Tyrone Hill,Ohio,Black,1991,2004,F,6-9,240,"March 19, 1968",Xavier University
Darrun Hilliard,Pennsylvania,Black,2016,2016,G,6-6,205,"April 13, 1993",Villanova University
Kirk Hinrich,Iowa,White,2004,2016,G,6-4,190,"January 2, 1981",University of Kansas
Roy Hinson,New Jesery,Black,1984,1991,F-C,6-9,210,"May 2, 1961",Rutgers University
Robert Hite,Ohio,Black,2007,2007,G,6-2,184,"January 12, 1984",University of Miami
Darington Hobson,Nevada,White,2012,2012,G,6-7,210,"September 29, 1987",University of New Mexico
Donald Hodge,District of Columbia,Black,1992,1996,C,7-0,230,"February 25, 1969",Temple University
Julius Hodge,New York,Black,2006,2007,G,6-7,210,"November 18, 1983",North Carolina State University
Craig Hodges,Illinois,Black,1983,1992,G,6-2,190,"June 27, 1960","California State University, Long Beach"
Fred Hoiberg,Nebraska,White,1996,2005,G,6-4,203,"October 15, 1972",Iowa State University
Randy Holcomb,Illinois,Black,2006,2006,F,6-9,225,"August 8, 1979",San Diego State University
Jrue Holiday,California,Black,2010,2016,G,6-4,205,"June 12, 1990","University of California, Los Angeles"
Justin Holiday,California,Black,2013,2016,G-F,6-6,185,"April 5, 1989",University of Washington
Lionel Hollins,Kansas,Black,1976,1985,G,6-3,185,"October 19, 1953",Arizona State University
Ryan Hollins,California,Black,2007,2016,C,7-0,240,"October 10, 1984","University of California, Los Angeles"
Rondae Hollis-Jefferson,Pennsylvania,Black,2016,2016,F,6-7,220,"January 3, 1995",University of Arizona
Richaun Holmes,Illinois,Black,2016,2016,F,6-10,245,"October 15, 1993",Bowling Green State University
Mike Holton,Washington,Black,1985,1990,G,6-4,185,"August 4, 1961","University of California, Los Angeles"
Jerald Honeycutt,Louisiana,Black,1998,1999,F-G,6-9,245,"October 20, 1974",Tulane University
Tyler Honeycutt,California,Black,2012,2013,F,6-8,188,"July 15, 1990","University of California, Los Angeles"
Derek Hood,Missouri,Black,2000,2000,F,6-8,222,"December 22, 1976",University of Arkansas
Rodney Hood,Mississippi,Black,2015,2016,G-F,6-8,206,"October 20, 1992",Duke University
Dave Hoppen,Nebraska,Black,1988,1993,C-F,6-11,235,"March 13, 1964",University of Nebraska
Dennis Hopson,Ohio,Black,1988,1992,G-F,6-5,200,"April 22, 1965",Ohio State University
Scotty Hopson,Kentucky,Black,2014,2014,G,6-7,204,"August 8, 1989",University of Tennessee
Al Horford,Dominican Repulic,Black,2008,2016,F-C,6-10,245,"June 3, 1986",University of Florida
Tito Horford,Dominican Repulic,Black,1989,1994,C,7-1,245,"January 19, 1966",University of Miami
Jeff Hornacek,Illinois,White,1987,2000,G,6-3,190,"May 3, 1963",Iowa State University
Dennis Horner,New Jersey,White,2012,2012,F,6-9,230,"February 5, 1988",North Carolina State University
Robert Horry,Alabama,Black,1993,2008,F,6-9,220,"August 25, 1970",University of Alabama
Ed Horton,Illinois,Black,1990,1990,F,6-8,230,"December 17, 1967",University of Iowa
Eddie House,California,Black,2001,2011,G,6-1,180,"May 14, 1978",Arizona State University
Allan Houston,Kentucky,Black,1994,2005,G,6-6,200,"April 20, 1971",University of Tennessee
Byron Houston,Oklahoma,Black,1993,1996,F,6-5,250,"November 22, 1969",Oklahoma State University
Tom Hovasse,Colorado,White,1995,1995,F,6-8,205,"January 31, 1967",Pennsylvania State University
Brian Howard,North Carolina,Black,1992,1993,F,6-6,204,"October 19, 1967",North Carolina State University
Dwight Howard,Georgia,Black,2005,2016,C-F,6-11,265,"December 8, 1985",
Josh Howard,North Carolina,Black,2004,2013,F-G,6-7,210,"April 28, 1980",Wake Forest University
Juwan Howard,Illinois,Black,1995,2013,F,6-9,240,"February 7, 1973",University of Michigan
Stephen Howard,Texas,Black,1993,1998,F,6-9,225,"July 15, 1970",DePaul University
Phil Hubbard,Ohio,Black,1980,1989,F-C,6-8,215,"December 13, 1956",University of Michigan
Lester Hudson,Tennessee,Black,2010,2015,G,6-3,190,"August 7, 1984",University of Tennessee at Martin
Troy Hudson,Illinois,Black,1998,2008,G,6-1,170,"March 13, 1976",Southern Illinois University
Marcelo Huertas,Brazil,White,2016,2016,G,6-3,185,"May 25, 1983",
Nate Huffman,Michigan,White,2003,2003,C,7-1,245,"April 2, 1975",Central Michigan University
Alfredrick Hughes,Illinois,Black,1986,1986,F-G,6-5,215,"July 19, 1962",Loyola University of Chicago
Eddie Hughes,Mississippi,Black,1988,1990,G,5-10,165,"May 26, 1960",Colorado State University
Larry Hughes,Missouri,Black,1999,2012,G,6-5,184,"January 23, 1979",Saint Louis University
Rick Hughes,Ohio,Black,2000,2000,F,6-9,235,"August 22, 1973",Thomas More College
Robbie Hummel,Indiana,White,2014,2015,F,6-8,215,"March 8, 1989",Purdue University
Ryan Humphrey,Oklahoma,Black,2003,2005,F,6-8,235,"July 24, 1979",University of Notre Dame
Jay Humphries,California,Black,1985,1995,G,6-3,185,"October 17, 1962",University of Colorado
Kris Humphries,Minnesota,Black,2005,2016,F,6-9,235,"February 6, 1985",University of Minnesota
Brandon Hunter,Ohio,Black,2004,2005,F,6-7,260,"November 24, 1980",Ohio University
Cedric Hunter,Texas,Black,1992,1992,G,6-0,180,"January 16, 1965",University of Kansas
Chris Hunter,Indiana,Black,2010,2010,F,6-11,240,"July 7, 1984",University of Michigan
Lindsey Hunter,Mississippi,Black,1994,2010,G,6-2,170,"December 3, 1970",Jackson State University
Othello Hunter,North Carolina,Black,2009,2010,F,6-8,225,"May 28, 1986",Ohio State University
R.J. Hunter,Ohio,White,2016,2016,G,6-5,185,"October 24, 1993",Georgia State University
Steven Hunter,Illinois,Black,2002,2010,C,7-0,220,"October 31, 1981",DePaul University
Bobby Hurley,New Jersey,White,1994,1998,G,6-0,165,"June 28, 1971",Duke University
Geoff Huston,New York,Black,1980,1987,G,6-2,175,"November 8, 1957",Texas Tech University
Marc Iavaroni,New York,White,1983,1989,F,6-8,210,"September 15, 1956",University of Virginia
Serge Ibaka,Republic of the Congo,Black,2010,2016,F,6-10,245,"September 18, 1989",
Andre Iguodala,Illinois,Black,2005,2016,G-F,6-6,207,"January 28, 1984",University of Arizona
Zydrunas Ilgauskas,Lithuania,White,1998,2011,C,7-3,238,"June 5, 1975",
Mile Ilic,Bosnia and Herzegovina,White,2007,2007,C,7-1,230,"June 2, 1984",
Didier Ilunga-Mbenga,Democratic Republic of the Congo,Black,2005,2011,C,7-0,245,"December 30, 1980",
Ersan Ilyasova,Turkey,White,2007,2016,F,6-10,235,"May 15, 1987",
Joe Ingles,Australia,White,2015,2016,F-G,6-8,226,"October 2, 1987",
Damien Inglis,French Guiana,Black,2016,2016,F,6-8,246,"May 20, 1995",
Byron Irvin,Illinois,Black,1990,1993,G,6-5,190,"December 2, 1966",University of Missouri
Kyrie Irving,Australia,Black,2012,2016,G,6-3,193,"March 23, 1992",Duke University
Dan Issel*,Illinois,White,1971,1985,C-F,6-9,235,"October 25, 1948",University of Kentucky
Mike Iuzzolino,Pennsylvania,White,1992,1993,G,5-10,175,"January 22, 1968",Saint Francis University
Allen Iverson,Virginia,Black,1997,2010,G,6-0,165,"June 7, 1975",Georgetown University
Royal Ivey,New York,Black,2005,2014,G,6-3,200,"December 20, 1981",University of Texas at Austin
Jarrett Jack,Maryland,Black,2006,2016,G,6-3,200,"October 28, 1983",Georgia Institute of Technology
Bobby Jackson,North Carolina,Black,1998,2009,G,6-1,185,"March 13, 1973",University of Minnesota
Cedric Jackson,New Mexico,Black,2010,2010,G,6-3,191,"March 5, 1986",Cleveland State University
Darnell Jackson,Oklahoma,Black,2009,2011,F,6-9,253,"November 7, 1985",University of Kansas
Jaren Jackson,Louisiana,Black,1990,2002,G-F,6-4,190,"October 27, 1967",Georgetown University
Jermaine Jackson,Michigan,Black,2000,2006,G,6-4,204,"June 7, 1976",University of Detroit Mercy
Jim Jackson,Ohio,Black,1993,2006,G,6-6,220,"October 14, 1970",Ohio State University
Luke Jackson,Oregon,Black,2005,2008,F,6-7,215,"November 6, 1981",University of Oregon
Marc Jackson,Pennsylvania,Black,2001,2007,C,6-10,270,"January 16, 1975",Temple University
Mark Jackson,New York,Black,1988,2004,G,6-1,180,"April 1, 1965",St. John's University
Michael Jackson,Virginta,Black,1988,1990,G,6-2,183,"July 13, 1964",Georgetown University
Myron Jackson,Arkansas,Black,1987,1987,G,6-3,185,"May 6, 1964",University of Arkansas at Little Rock
Ralph Jackson,California,Black,1985,1985,G,6-2,190,"October 26, 1962","University of California, Los Angeles"
Randell Jackson,Massachusetts,Black,1999,2000,F,6-11,215,"January 16, 1976",Florida State University
Reggie Jackson,Italy,Black,2012,2016,G,6-3,208,"April 16, 1990",Boston College
Stanley Jackson,Alabama,Black,1994,1994,G,6-3,185,"October 10, 1970",University of Alabama at Birmingham
Stephen Jackson,Texas,Black,2001,2014,F-G,6-8,218,"April 5, 1978",Butler County Community College
Casey Jacobsen,California,Black,2003,2008,G-F,6-6,215,"March 19, 1981",Stanford University
Sam Jacobson,Minnesota,Black,1999,2001,G-F,6-4,215,"July 22, 1975",University of Minnesota
Dave Jamerson,West Virginta,Black,1991,1994,G-F,6-5,190,"August 13, 1967",Ohio University
Bernard James,Georgia,Black,2013,2015,C,6-10,240,"February 7, 1985",Florida State University
Damion James,New Mexico,Black,2011,2014,G-F,6-7,225,"October 7, 1987",University of Texas at Austin
Henry James,Alabama,Black,1991,1998,F,6-8,220,"July 29, 1965",St. Mary's University
Jerome James,Florida,Black,1999,2009,C,7-0,300,"November 17, 1975",Florida Agricultural and Mechanical University
LeBron James,Ohio,Black,2004,2016,F-G,6-8,250,"December 30, 1984",
Mike James,New York,Black,2002,2014,G,6-2,188,"June 23, 1975",Duquesne University
Tim James,Florida,Black,2000,2002,F,6-7,212,"December 26, 1976",University of Miami
Antawn Jamison,Louisiana,Black,1999,2014,F,6-8,223,"June 12, 1976",University of North Carolina
Harold Jamison,South Carolina,Black,2000,2002,F,6-8,260,"November 20, 1976",Clemson University
Marko Jaric,Serbia,White,2003,2009,G,6-7,198,"October 12, 1978",
Sarunas Jasikevicius,Lithuania,White,2006,2007,G,6-4,195,"March 5, 1976",University of Maryland
Nathan Jawai,Australia,Black,2009,2010,F,6-10,280,"October 10, 1986",Midland College
Chris Jefferies,California,Black,2003,2004,G-F,6-8,225,"February 13, 1980","California State University, Fresno"
Othyus Jeffers,Illinois,Black,2010,2014,G,6-5,200,"August 5, 1985",Robert Morris University (IL)
Al Jefferson,Mississippi,Black,2005,2016,C-F,6-10,289,"January 4, 1985",
Cory Jefferson,Washington,Black,2015,2016,F,6-9,218,"December 26, 1990",Baylor University
Dontell Jefferson,Georgia,Black,2009,2009,G,6-5,195,"December 15, 1983",University of Arkansas
Richard Jefferson,California,Black,2002,2016,F,6-7,233,"June 21, 1980",University of Arizona
Jared Jeffries,Indiana,Black,2003,2013,F,6-11,230,"November 25, 1981",Indiana University
Charles Jenkins,New York,Black,2012,2013,G,6-3,220,"February 28, 1989",Hofstra University
Horace Jenkins,New Jersey,Black,2005,2005,G,6-1,180,"October 14, 1974",William Paterson University
John Jenkins,Tennessee,White,2013,2016,G,6-4,215,"March 6, 1991",Vanderbilt University
Brandon Jennings,California,Black,2010,2016,G,6-1,169,"September 23, 1989",
Keith Jennings,Virginia,Black,1993,1995,G,5-7,160,"November 2, 1968",East Tennessee State University
Chris Jent,California,White,1994,1997,F,6-7,220,"January 11, 1970",Ohio State University
Les Jepsen,North Dakota,Black,1991,1992,C,7-0,237,"June 24, 1967",University of Iowa
Jonas Jerebko,Sweden,White,2010,2016,F,6-10,231,"March 2, 1987",
Grant Jerrett,California,Black,2015,2015,F,6-10,235,"July 8, 1993",University of Arizona
Eugene Jeter,California,Black,2011,2011,G,5-11,175,"December 2, 1983",University of Portland
Yi Jianlian,China,Others,2008,2012,F,7-0,238,"October 27, 1987",
Britton Johnsen,Utah,White,2004,2005,F,6-10,210,"July 8, 1979",University of Utah
Alexander Johnson,Georgia,Black,2007,2008,F,6-9,240,"February 8, 1983",Florida State University
Amir Johnson,California,Black,2006,2016,F,6-9,240,"May 1, 1987",
Anthony Johnson,South Carolina,Black,1998,2010,G,6-3,190,"October 2, 1974",College of Charleston
Armon Johnson,Illinois,Black,2011,2012,G,6-3,195,"February 23, 1989","University of Nevada, Reno"
Avery Johnson,Louisiana,Black,1989,2004,G,5-10,175,"March 25, 1965",Southern University and A&M College
Buck Johnson,Alabama,Black,1987,1993,F,6-7,190,"January 3, 1964",University of Alabama
Carldell Johnson,Louisiana,Black,2012,2012,G,5-10,180,"January 28, 1983",University of Alabama at Birmingham
Chris Johnson,District of Columbia,Black,2011,2013,C,6-11,210,"July 15, 1985",Louisiana State University
Chris Johnson,Florida,Black,2013,2016,F-G,6-6,206,"April 29, 1990",University of Dayton
Clemon Johnson,Florida,Black,1979,1988,C-F,6-10,240,"September 12, 1956",Florida Agricultural and Mechanical University
Darryl Johnson,Michigan,Black,1996,1996,G,6-1,170,"October 26, 1965",Michigan State University
Dave Johnson,Louisiana,Black,1993,1994,G-F,6-7,210,"November 16, 1970",Syracuse University
DeMarco Johnson,North Carolina,Black,2000,2000,F,6-9,245,"October 6, 1975",University of North Carolina at Charlotte
Dennis Johnson*,California,Black,1977,1990,G,6-4,185,"September 18, 1954",Pepperdine University
DerMarr Johnson,District of Columbia,Black,2001,2008,F,6-9,201,"May 5, 1980",University of Cincinnati
Eddie Johnson,Florida,Black,1978,1987,G,6-2,180,"February 24, 1955",Auburn University
Eddie Johnson,Illinois,Black,1982,1999,F-G,6-7,215,"May 1, 1959",University of Illinois at Urbana-Champaign
Eric Johnson,New York,Black,1990,1990,G,6-2,205,"February 7, 1966",University of Nebraska
Ervin Johnson,Louisiana,Black,1994,2006,C,6-11,245,"December 21, 1967",University of New Orleans
Frank Johnson,Florida,Black,1982,1994,G,6-1,185,"November 23, 1958",Wake Forest University
George Johnson,Mississippi,Black,1973,1986,C-F,6-11,205,"December 18, 1948",Dillard University
George Johnson,New York,Black,1979,1986,F-C,6-7,210,"December 8, 1956",St. John's University
Ivan Johnson,Texas,Black,2012,2013,F,6-8,230,"April 10, 1984",University of Oregon
